term,canonical_moses_meaning,first_known_internal_usage,first_known_public_disclosure,external_prior_usages,field,conceptual_overlap,explicit_distinction,citation,institutional_anchoring,trademark_relevance,patent_relevance,status
Assisted Intelligence (AAI),"Intelligence requiring external initiation (initiation dependency)",2026-03-20,signomy.xyz,"FedTech Magazine (2020); AMA CPT Appendix S (2021); Forbes/Cognilytica (2020); PwC (2018)",AI industry,"LOW (all external uses mean AI that assists humans)","Initiation-dependency vs. human-assistance. Different concept entirely.","Prior-art search (ontology review v0.1)","Yes (FedTech, AMA, Forbes, PwC)","RISK — existing uses may prevent trademark registration","Not covered by 63/877,177 — may need separate filing",DEFINE
Biological Intelligence (BI),"Intelligence initiated endogenously by biological system",2026-03-20,signomy.xyz,"Zenodo (2024, taxonomy); arXiv (2021); Nature (2025, 2024)",Cognitive science/AI,"LOW-MODERATE (used as term but not in BI/AAI/SI taxonomy with initiation dependency)","Part of initiation-dependency taxonomy, not standalone biological cognition","Prior-art search (ontology review v0.1)","Yes (academic usage)","Low risk — used descriptively","N/A",DEFINE
System Intelligence (SI),"System property emerging from BI x AAI interaction",2026,"Not yet publicly disclosed","Hämäläinen & Saarinen (2004+, Systems Intelligence); ACM SIGOPS (2025, System Intelligence)",Org psych/systems/AI,"VERY LOW (human cognitive capacity or AI design)","Emergent system property vs. human capability vs. AI design capability","Prior-art search (ontology review v0.1)","Yes (Aalto University — extensive publications)","RISK — one letter from 'Systems Intelligence'. Consider 'Systemic Intelligence' or 'System-Emergent Intelligence'","Not covered by 63/877,177",WATCH
Intelligence Provenance,"Tracing lineage of intelligence-bearing events across BI/AAI/system forms",2026,"Not yet publicly disclosed","Not found in searched corpus. Closest: Lineage of Intelligence (Zenodo 10.5281/zenodo.20006596), Provenance Not Kind (suposystem.ai)",N/A,"LOW (related but not matching)","Full provenance suite vs. cross-substrate continuity","Prior-art search (ontology review v0.1)","No","Available — not found in searched corpus","May need separate filing if patent desired",DEFINE
Initiation Dependency,"Criterion distinguishing BI from AAI",2026,"Not yet publicly disclosed","Not found as taxonomic criterion. Related: endogenous/exogenous action (neuroscience), reactive/anticipatory/autonomous (systems)",Neuroscience/systems,"MODERATE (conceptually supported but not formalized as taxonomic criterion)","Taxonomic criterion vs. volition theory vs. systems classification","Prior-art search (ontology review v0.1)","Partial (neuroscience literature on endogenous/exogenous action)","Unknown","N/A",DEFINE
Micro Eval,"E_μ = (I_a, S_t, T, I_b, S_{t+1}, C, P, O) — measurement primitive",2026,"Not yet publicly disclosed","Not found in searched corpus as a formal measurement unit with these components",N/A,"LOW (related to RL trajectories but with commitment and provenance constraints)","Measurement primitive with commitment and provenance, not standard RL trajectory","Ontology review v0.1","No","Available — not found in searched corpus","May need separate filing",DEFINE
Semantic Entropy (CT sense),"Rate of deontic decay under transformation",2026,10.5281/zenodo.20029607,"Kuhn et al. (2023) — semantic entropy as LLM output uncertainty",NLP,"MODERATE (shared term, different meaning)","CT: degradation of commitment across pipeline. Kuhn: uncertainty in generation.","P-000 Proposition 6.4","Yes (Kuhn et al. — NeurIPS)","Shared term — disambiguation required","N/A",DEFINE
Data Provenance,"N/A (external — must distinguish from)",N/A,W3C PROV,"W3C PROV standard",Data management,"LOW (traces data artifacts, not intelligence-bearing events)","IP must explicitly distinguish from data provenance","W3C PROV","Yes (W3C)","N/A","N/A",AVOID
Content Provenance,"N/A (external — must distinguish from)",N/A,C2PA,"C2PA standard",Content authenticity,"LOW (traces content edits, not intelligence lineage)","IP must explicitly distinguish from content provenance","C2PA","Yes (C2PA coalition)","N/A","N/A",AVOID
Model Attribution,"N/A (external — must distinguish from)",N/A,Various,"Model cards, data sheets, AI accountability frameworks",AI accountability,"LOW (attributes models, not intelligence events)","IP must explicitly distinguish from model attribution","Various","Yes","N/A","N/A",AVOID
Commitment Stores,"N/A (external — must distinguish from)",N/A,Walton & Krabbe (1995),"Walton & Krabbe commitment stores",Dialogue logic,"HIGH (deontic, persistent, trackable)","Synchronic signal invariant vs. diachronic dialogue record","Disambiguation_Guide.md","Yes (Cambridge University Press)","N/A","N/A",AVOID
Discursive Commitment,"N/A (external — must distinguish from)",N/A,Brandom (1994),"Brandom discursive commitment",Philosophy of language,"MODERATE-HIGH (normative, persistent)","Signal-side deontic vs. agent-side epistemic","Disambiguation_Guide.md","Yes (Harvard University Press)","N/A","N/A",AVOID
Organizational Commitment,"N/A (external — must distinguish from)",N/A,Meyer & Allen (1991),"Meyer & Allen three-component model",Org psychology,"LOW (psychological bond, not semantic)","Different domain entirely","Disambiguation_Guide.md","Yes (Academy of Management)","N/A","N/A",AVOID
Conservation of Resources,"N/A (external — must distinguish from)",N/A,Hobfoll (1989),"Hobfoll COR theory",Org psychology,"LOW (metaphorical conservation)","Formal mathematical conservation vs. behavioral tendency","Naming_Architecture.md","Yes (American Psychologist, 19,000+ citations)","N/A — resolved by CCT→CT rename","N/A",AVOID
Commitment System Theory,"N/A (external — must distinguish from)",N/A,Solinger et al. (2019),"Solinger et al. CST",Org psychology,"LOW (psychological network)","Psychological bonds vs. semantic invariants","Prior-art search (ontology review v0.1)","Yes (Academy of Management Review)","N/A","N/A",AVOID
Systems Intelligence,"N/A (external — must distinguish from)",N/A,Hämäläinen & Saarinen (2004),"Hämäläinen & Saarinen Systems Intelligence",Org psychology,"VERY LOW (human cognitive capacity)","Human capability vs. emergent system property","Prior-art search (ontology review v0.1)","Yes (Aalto University)","RISK — one letter from SI","N/A",WATCH
